match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_f_err,p2_f_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,set_id,game_id
1,M. Sakkari,N. Hibino,-1,1,5,24,0,0,4,1,1,1,1,-1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,5
1,M. Sakkari,N. Hibino,-1,1,5,25,0,0,4,1,2,1,1,-1,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,5
1,M. Sakkari,N. Hibino,-1,1,5,26,0,0,4,1,2,2,1,-1,2,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,5
1,M. Sakkari,N. Hibino,-1,1,5,27,0,0,5,1,3,2,1,-1,1,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,5
1,M. Sakkari,N. Hibino,-1,1,4,28,0,0,5,1,0,1,2,-1,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,4
1,M. Sakkari,N. Hibino,-1,1,4,29,0,0,5,1,1,1,2,-1,2,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,4
1,M. Sakkari,N. Hibino,-1,1,4,30,0,0,5,1,2,1,2,-1,2,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,4
1,M. Sakkari,N. Hibino,-1,1,4,31,0,0,5,1,2,2,2,-1,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,4
1,M. Sakkari,N. Hibino,-1,1,4,32,0,0,6,1,3,2,2,-1,2,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,4
1,M. Sakkari,N. Hibino,-1,1,3,33,0,0,6,1,0,1,1,-1,2,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,3,34,0,0,6,1,1,1,1,-1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,3,35,0,0,6,1,1,2,1,-1,2,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,3,36,0,0,6,1,1,3,1,-1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,3,37,0,0,6,1,2,3,1,-1,1,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,3,38,0,0,6,1,3,3,1,-1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,3,39,0,0,7,2,3,4,1,-1,2,40,0,2,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,3
1,M. Sakkari,N. Hibino,-1,1,2,40,0,0,7,2,0,1,2,-1,1,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,41,0,0,7,2,1,1,2,-1,2,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,42,0,0,7,2,2,1,2,-1,2,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,43,0,0,7,2,2,2,2,-1,1,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,44,0,0,7,2,2,3,2,-1,1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,45,0,0,7,2,3,3,2,-1,2,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,46,0,0,7,2,4,3,2,-1,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,47,0,0,7,2,3,3,2,-1,1,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,2,48,0,0,8,3,3,4,2,-1,1,49,0,2,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,2
1,M. Sakkari,N. Hibino,-1,1,1,49,0,0,8,3,0,1,1,-1,2,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
1,M. Sakkari,N. Hibino,-1,1,1,50,0,0,8,3,1,1,1,-1,1,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
1,M. Sakkari,N. Hibino,-1,1,1,51,0,0,8,3,2,1,1,-1,1,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
1,M. Sakkari,N. Hibino,-1,1,1,52,0,0,8,3,2,2,1,-1,2,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
1,M. Sakkari,N. Hibino,-1,1,1,53,0,0,8,3,3,2,1,-1,1,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
1,M. Sakkari,N. Hibino,-1,1,1,54,0,0,8,3,3,3,1,-1,2,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
1,M. Sakkari,N. Hibino,-1,1,1,55,0,0,9,4,4,3,1,-1,1,56,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
